id,smarts,confidence
10,[*:1]/[C&D2&v4&H1&+0&!R&z1:2]=[C&D3&v4&H0&+0&!R&z0:3](-[C&D1&v4&H3&+0&!R&z0:4])/[C&D2&v4&H1&+0&!R&z0:5]=[C&D2&v4&H1&+0&!R&z0:6]/[C&D2&v4&H1&+0&!R&z0:7]=[C&D3&v4&H0&+0&!R&z0:8](-[C&D1&v4&H3&+0&!R&z0:9])/[C&D2&v4&H1&+0&!R&z0:10]=[C&D2&v4&H1&+0&!R&z0:11]/[C@@&D3&v4&H1&+0&R&z0:12](-[C&D3&v4&H0&+0&R&z0:13]=[C&D2&v4&H1&+0&R&z0:14])-[C&D4&v4&H0&+0&R&z0:15]-[C&D2&v4&H2&+0&R&z0:16]>>([*:1]/[C&D2&v4&H1&+0&!R&z1:2]=[C&D3&v4&H0&+0&!R&z0:3](-[C&D1&v4&H3&+0&!R&z0:4])/[C&D2&v4&H1&+0&!R&z0:5]=[C&D2&v4&H1&+0&!R&z0:6]/[C&D2&v4&H1&+0&!R&z0:7]=[C&D3&v4&H0&+0&!R&z0:8](-[C&D1&v4&H3&+0&!R&z0:9])/[C&D2&v4&H1&+0&!R&z0:10]=[C&D2&v4&H1&+0&!R&z0:11]/[C&D2&v4&H1&+0&!R&z0:12]=[C&D3&v4&H0&+0&!R&z0:13]/[C&D2&v4&H2&+0&!R&z0:14].[C&D2&v4&H1&+0&!R&z0:16]=[C&D3&v4&H0&+0&!R&z0:15]),0.6149580764249325
11,[*:1]/[C&D2&v4&H1&+0&!R&z1:2]=[C&D2&v4&H1&+0&!R&z0:3]/[C&D3&v4&H0&+0&!R&z2:4](=[O&D1&v2&H0&+0&!R:5])-[O&D1&v2&H1&+0&!R:6].[S&D1&v2&H1&+0&!R:7].[n&D3&v3&H0&+0&R:8]-[C@&D3&v4&H1&+0&R&z2:9]1-[O&D2&v2&H0&+0&R:10]-[C@&D3&v4&H1&+0&R&z1:11](-[C&D2&v4&H2&+0&!R&z1:12]-[O&D2&v2&H0&+0&!R:13]-[P&D4&v5&H0&+0&!R:14](=[O&D1&v2&H0&+0&!R:15])(-[O&D1&v2&H1&+0&!R:16])-[O&D2&v2&H0&+0&!R:17]-[P&D4&v5&H0&+0&!R:18](=[O&D1&v2&H0&+0&!R:19])(-[O&D1&v2&H1&+0&!R:20])-[O&D2&v2&H0&+0&!R:21]-[P&D4&v5&H0&+0&!R:22](-[O&D1&v2&H1&+0&!R:23])-[O&D1&v2&H1&+0&!R:24])-[C@@&D3&v4&H1&+0&R&z1:25](-[O&D1&v2&H1&+0&!R:26])-[C@@&D3&v4&H1&+0&R&z1:27]-1-[O&D1&v2&H1&+0&!R:28]>>[*:1]/[C&D2&v4&H1&+0&!R&z1:2]=[C&D2&v4&H1&+0&!R&z0:3]/[C&D3&v4&H0&+0&!R&z2:4](=[O&D1&v2&H0&+0&!R:5])-[S&D2&v2&H0&+0&!R:7].[O&D1&v2&H0&+0&!R:19]=[P&D4&v5&H0&+0&!R:18](-[O&D1&v2&H1&+0&!R:20])(-[O&D1&v2&H1&+0&!R:6])-[O&D2&v2&H0&+0&!R:21]-[P&D4&v5&H0&+0&!R:22](-[O&D1&v2&H1&+0&!R:23])-[O&D1&v2&H1&+0&!R:24].[n&D3&v3&H0&+0&R:8]-[C@&D3&v4&H1&+0&R&z2:9]1-[O&D2&v2&H0&+0&R:10]-[C@&D3&v4&H1&+0&R&z1:11](-[C&D2&v4&H2&+0&!R&z1:12]-[O&D2&v2&H0&+0&!R:13]-[P&D4&v5&H0&+0&!R:14](=[O&D1&v2&H0&+0&!R:15])(-[O&D1&v2&H1&+0&!R:16])-[O&D1&v2&H1&+0&!R:17])-[C@@&D3&v4&H1&+0&R&z1:25](-[O&D1&v2&H1&+0&!R:26])-[C@@&D3&v4&H1&+0&R&z1:27]-1-[O&D1&v2&H1&+0&!R:28],0.11648717048704356
12,[*:1]/[C&D2&v4&H1&+0&!R&z1:2]=[C&D2&v4&H1&+0&!R&z0:3]/[C&D3&v4&H0&+0&!R&z2:4](=[O&D1&v2&H0&+0&!R:5])-[O&D1&v2&H1&+0&!R:6].[O&D2&v2&H0&+0&!R:7](-[P&D4&v5&H0&+0&!R:8]-[O&D1&v2&H1&+0&!R:9])-[P&D4&v5&H0&+0&!R:10](=[O&D1&v2&H0&+0&!R:11])(-[O&D1&v2&H1&+0&!R:12])-[O&D2&v2&H0&+0&!R:13]-[P&D4&v5&H0&+0&!R:14](-[O&D1&v2&H1&+0&!R:15])(=[O&D1&v2&H0&+0&!R:16])-[O&D1&v2&H1&+0&!R:17]>>[*:1]/[C&D2&v4&H1&+0&!R&z1:2]=[C&D2&v4&H1&+0&!R&z0:3]/[C&D3&v4&H0&+0&!R&z2:4](=[O&D1&v2&H0&+0&!R:5])-[O&D2&v2&H0&+0&!R:7]-[P&D4&v5&H0&+0&!R:8]-[O&D1&v2&H1&+0&!R:9].[O&D1&v2&H0&+0&!R:11]=[P&D4&v5&H0&+0&!R:10](-[O&D1&v2&H1&+0&!R:12])(-[O&D1&v2&H1&+0&!R:15])-[O&D2&v2&H0&+0&!R:13]-[P&D4&v5&H0&+0&!R:14](=[O&D1&v2&H0&+0&!R:16])(-[O&D1&v2&H1&+0&!R:6])-[O&D1&v2&H1&+0&!R:17],0.37304920724848445
13,([*:1]/[C&D2&v4&H1&+0&!R&z1:2]=[C&D2&v4&H1&+0&!R&z0:3]/[C&D3&v4&H0&+0&!R&z2:4](=[O&D1&v2&H0&+0&!R:5])-[O&D2&v2&H0&+0&!R:6].[C&D2&v4&H2&+0&!R&z1:7]-[C@@&D3&v4&H1&+0&R&z1:8]1-[O&D2&v2&H0&+0&R:9]-[C@@&D3&v4&H1&+0&R&z2:10](-[n&D3&v3&H0&+0&R:11])-[C@&D3&v4&H1&+0&R&z1:12](-[O&D1&v2&H1&+0&!R:13])-[C@&D3&v4&H1&+0&R&z1:14]-1-[O&D1&v2&H1&+0&!R:15]).[S&D1&v2&H1&+0&!R:16]>>[*:1]/[C&D2&v4&H1&+0&!R&z1:2]=[C&D2&v4&H1&+0&!R&z0:3]/[C&D3&v4&H0&+0&!R&z2:4](=[O&D1&v2&H0&+0&!R:5])-[S&D2&v2&H0&+0&!R:16].([O&D1&v2&H1&+0&!R:6].[n&D3&v3&H0&+0&R:11]-[C@&D3&v4&H1&+0&R&z2:10]1-[O&D2&v2&H0&+0&R:9]-[C@&D3&v4&H1&+0&R&z1:8](-[C&D2&v4&H2&+0&!R&z1:7])-[C@@&D3&v4&H1&+0&R&z1:14](-[O&D1&v2&H1&+0&!R:15])-[C@@&D3&v4&H1&+0&R&z1:12]-1-[O&D1&v2&H1&+0&!R:13]),0.5402833969503316
14,([*:1]/[C&D2&v4&H1&+0&!R&z1:2]=[C&D2&v4&H1&+0&!R&z0:3]/[C&D3&v4&H0&+0&!R&z2:4](=[O&D1&v2&H0&+0&!R:5])-[O&D2&v2&H0&+0&!R:6]-[P&D4&v5&H0&+0&!R:7](=[O&D1&v2&H0&+0&!R:8])-[O&D1&v2&H1&+0&!R:9].[C&D2&v4&H2&+0&!R&z1:10]-[C@@&D3&v4&H1&+0&R&z1:11]1-[O&D2&v2&H0&+0&R:12]-[C@@&D3&v4&H1&+0&R&z2:13](-[n&D3&v3&H0&+0&R:14])-[C@&D3&v4&H1&+0&R&z1:15](-[O&D1&v2&H1&+0&!R:16])-[C@&D3&v4&H1&+0&R&z1:17]-1-[O&D1&v2&H1&+0&!R:18]).[O&D1&v2&H1&+0&!R:19]-[P&D4&v5&H0&+0&!R:20](=[O&D1&v2&H0&+0&!R:21])(-[O&D1&v2&H1&+0&!R:22])-[O&D2&v2&H0&+0&!R:23]-[P&D4&v5&H0&+0&!R:24]>>[*:1]/[C&D2&v4&H1&+0&!R&z1:2]=[C&D2&v4&H1&+0&!R&z0:3]/[C&D3&v4&H0&+0&!R&z2:4](=[O&D1&v2&H0&+0&!R:5])-[O&D1&v2&H1&+0&!R:19].([P&D4&v5&H0&+0&!R:7](=[O&D1&v2&H0&+0&!R:8])(-[O&D1&v2&H1&+0&!R:9])-[O&D2&v2&H0&+0&!R:6]-[P&D4&v5&H0&+0&!R:20](=[O&D1&v2&H0&+0&!R:21])(-[O&D1&v2&H1&+0&!R:22])-[O&D2&v2&H0&+0&!R:23]-[P&D4&v5&H0&+0&!R:24].[n&D3&v3&H0&+0&R:14]-[C@&D3&v4&H1&+0&R&z2:13]1-[O&D2&v2&H0&+0&R:12]-[C@&D3&v4&H1&+0&R&z1:11](-[C&D2&v4&H2&+0&!R&z1:10])-[C@@&D3&v4&H1&+0&R&z1:17](-[O&D1&v2&H1&+0&!R:18])-[C@@&D3&v4&H1&+0&R&z1:15]-1-[O&D1&v2&H1&+0&!R:16]),0.16282908525385145
15,[*:1]/[C&D2&v4&H1&+0&!R&z1:2]=[C&D2&v4&H1&+0&!R&z0:3]/[C&D3&v4&H0&+0&!R&z2:4]=[O&D1&v2&H0&+0&!R:5].[C&D3&v4&H0&+0&R&z0:6]1=[C&D2&v4&H1&+0&R&z1:7]-[N&D3&v3&H0&+0&R:8](-[C@&D3&v4&H1&+0&R&z2:9]2-[O&D2&v2&H0&+0&R:10]-[C@&D3&v4&H1&+0&R&z1:11](-[C&D2&v4&H2&+0&!R&z1:12])-[C@@&D3&v4&H1&+0&R&z1:13](-[O&D1&v2&H1&+0&!R:14])-[C@@&D3&v4&H1&+0&R&z1:15]-2-[O&D1&v2&H1&+0&!R:16])-[C&D2&v4&H1&+0&R&z1:17]=[C&D2&v4&H1&+0&R&z0:18]-[C&D2&v4&H2&+0&R&z0:19]-1>>[*:1]-[C&D2&v4&H2&+0&!R&z1:2]-[C&D2&v4&H2&+0&!R&z0:3]-[C&D3&v4&H0&+0&!R&z2:4]=[O&D1&v2&H0&+0&!R:5].[c&D3&v4&H0&+0&R&z0:6]1:[c&D2&v4&H1&+0&R&z0:19]:[c&D2&v4&H1&+0&R&z0:18]:[c&D2&v4&H1&+0&R&z1:17]:[n&D3&v4&H0&+&R:8](-[C@&D3&v4&H1&+0&R&z2:9]2-[O&D2&v2&H0&+0&R:10]-[C@&D3&v4&H1&+0&R&z1:11](-[C&D2&v4&H2&+0&!R&z1:12])-[C@@&D3&v4&H1&+0&R&z1:13](-[O&D1&v2&H1&+0&!R:14])-[C@@&D3&v4&H1&+0&R&z1:15]-2-[O&D1&v2&H1&+0&!R:16]):[c&D2&v4&H1&+0&R&z1:7]:1,0.09141483719262504
16,[N&D1&v3&H2&+0&!R:1].[O&D0&v2&H2&+0&!R:2].[S&D2&v2&H0&+0&!R:3]-[C&D3&v4&H0&+0&!R&z2:4](/[C&D2&v4&H1&+0&!R&z0:5]=[C&D2&v4&H1&+0&!R&z1:6]/[*:7])=[O&D1&v2&H0&+0&!R:8]>>[*:7]-[C@&D3&v4&H1&+0&!R&z2:6](-[C&D2&v4&H2&+0&!R&z0:5]-[C&D3&v4&H0&+0&!R&z2:4](=[O&D1&v2&H0&+0&!R:8])-[O&D1&v2&H1&+0&!R:2])-[N&D2&v3&H1&+0&!R:1].[S&D1&v2&H1&+0&!R:3],0.7153319483575196
17,([*:1]/[C&D2&v4&H1&+0&!R&z1:2]=[C&D2&v4&H1&+0&!R&z0:3]/[C&D3&v4&H0&+0&!R&z2:4](=[O&D1&v2&H0&+0&!R:5])-[S&D2&v2&H0&+0&!R:6].[C&D2&v4&H2&+0&!R&z1:7]-[C@&D3&v4&H1&+0&!R&z1:8](-[N&D2&v3&H1&+0&!R:9])-[C&D3&v4&H0&+0&!R&z2:10].[C&D3&v4&H0&+0&!R&z2:11]-[C@@&D3&v4&H1&+0&!R&z1:12](-[C&D4&v4&H0&+0&!R&z0:13])-[O&D1&v2&H1&+0&!R:14]).[O&D1&v2&H1&+0&!R:15]-[P&D4&v5&H0&+0&!R:16](=[O&D1&v2&H0&+0&!R:17])(-[O&D1&v2&H1&+0&!R:18])-[O&D2&v2&H0&+0&!R:19]-[P&D4&v5&H0&+0&!R:20](-[O&D1&v2&H1&+0&!R:21])-[O&D1&v2&H1&+0&!R:22].[n&D3&v3&H0&+0&R:23]-[C@&D3&v4&H1&+0&R&z2:24]1-[O&D2&v2&H0&+0&R:25]-[C@&D3&v4&H1&+0&R&z1:26](-[C&D2&v4&H2&+0&!R&z1:27]-[O&D2&v2&H0&+0&!R:28]-[P&D4&v5&H0&+0&!R:29](=[O&D1&v2&H0&+0&!R:30])(-[O&D1&v2&H1&+0&!R:31])-[O&D1&v2&H1&+0&!R:32])-[C@@&D3&v4&H1&+0&R&z1:33](-[O&D1&v2&H1&+0&!R:34])-[C@@&D3&v4&H1&+0&R&z1:35]-1-[O&D1&v2&H1&+0&!R:36]>>[*:1]/[C&D2&v4&H1&+0&!R&z1:2]=[C&D2&v4&H1&+0&!R&z0:3]/[C&D3&v4&H0&+0&!R&z2:4](=[O&D1&v2&H0&+0&!R:5])-[O&D1&v2&H1&+0&!R:15].([C&D4&v4&H0&+0&!R&z0:13]-[C@@&D3&v4&H1&+0&!R&z1:12](-[O&D1&v2&H1&+0&!R:14])-[C&D3&v4&H0&+0&!R&z2:11].[N&D2&v3&H1&+0&!R:9]-[C@@&D3&v4&H1&+0&!R&z1:8](-[C&D2&v4&H2&+0&!R&z1:7])-[C&D3&v4&H0&+0&!R&z2:10].[S&D1&v2&H1&+0&!R:6]).[n&D3&v3&H0&+0&R:23]-[C@&D3&v4&H1&+0&R&z2:24]1-[O&D2&v2&H0&+0&R:25]-[C@&D3&v4&H1&+0&R&z1:26](-[C&D2&v4&H2&+0&!R&z1:27]-[O&D2&v2&H0&+0&!R:28]-[P&D4&v5&H0&+0&!R:29](=[O&D1&v2&H0&+0&!R:30])(-[O&D1&v2&H1&+0&!R:31])-[O&D2&v2&H0&+0&!R:32]-[P&D4&v5&H0&+0&!R:16](=[O&D1&v2&H0&+0&!R:17])(-[O&D1&v2&H1&+0&!R:18])-[O&D2&v2&H0&+0&!R:19]-[P&D4&v5&H0&+0&!R:20](-[O&D1&v2&H1&+0&!R:21])-[O&D1&v2&H1&+0&!R:22])-[C@@&D3&v4&H1&+0&R&z1:33](-[O&D1&v2&H1&+0&!R:34])-[C@@&D3&v4&H1&+0&R&z1:35]-1-[O&D1&v2&H1&+0&!R:36],0.08198875625545085
18,([*:1]/[C&D2&v4&H1&+0&!R&z1:2]=[C&D2&v4&H1&+0&!R&z0:3]/[C&D3&v4&H0&+0&!R&z2:4](=[O&D1&v2&H0&+0&!R:5])-[S&D2&v2&H0&+0&!R:6].[C&D2&v4&H2&+0&!R&z1:7]-[C@&D3&v4&H1&+0&!R&z1:8](-[N&D2&v3&H1&+0&!R:9])-[C&D3&v4&H0&+0&!R&z2:10].[C&D3&v4&H0&+0&!R&z2:11]-[C@@&D3&v4&H1&+0&!R&z1:12](-[C&D4&v4&H0&+0&!R&z0:13])-[O&D1&v2&H1&+0&!R:14]).[O&D1&v2&H1&+0&!R:15]~[*:16]~[O&D1&v2&H1&+0&!R:17]>>[*:1]/[C&D2&v4&H1&+0&!R&z1:2]=[C&D2&v4&H1&+0&!R&z0:3]/[C&D3&v4&H0&+0&!R&z2:4](=[O&D1&v2&H0&+0&!R:5])-[O&D2&v2&H0&+0&!R:15]~[*:16]~[O&D1&v2&H1&+0&!R:17].([C&D4&v4&H0&+0&!R&z0:13]-[C@@&D3&v4&H1&+0&!R&z1:12](-[O&D1&v2&H1&+0&!R:14])-[C&D3&v4&H0&+0&!R&z2:11].[N&D2&v3&H1&+0&!R:9]-[C@@&D3&v4&H1&+0&!R&z1:8](-[C&D2&v4&H2&+0&!R&z1:7])-[C&D3&v4&H0&+0&!R&z2:10].[S&D1&v2&H1&+0&!R:6]),0.44301525008271486
19,[C&D3&v4&H0&+0&!R&z2:1](=[O&D1&v2&H0&+0&!R:2])/[C&D2&v4&H1&+0&!R&z0:3]=[C&D2&v4&H1&+0&!R&z1:4]/[*:5].[O&D0&v2&H2&+0&!R:6]>>[C&D3&v4&H0&+0&!R&z2:1](=[O&D1&v2&H0&+0&!R:2])-[C&D2&v4&H2&+0&!R&z0:3]-[C@@&D3&v4&H1&+0&!R&z2:4](-[*:5])-[O&D1&v2&H1&+0&!R:6],0.7186023491925562
